City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
121,Faanui,0,PF,2020-08-18 00:56:56,74,-16.48,-151.75,78.44,12.35
122,Bethel,20,US,2020-08-18 00:56:10,94,41.37,-73.41,68.0,5.82
123,Touros,40,BR,2020-08-18 00:56:57,88,-5.2,-35.46,73.4,3.36
124,Soyo,100,AO,2020-08-18 00:56:52,88,-6.13,12.37,72.75,9.15
125,Salalah,90,OM,2020-08-18 00:56:57,100,17.02,54.09,77.0,4.7
126,Mahebourg,40,MU,2020-08-18 00:56:57,77,-20.41,57.7,69.8,13.87
127,Lufilufi,44,WS,2020-08-18 00:56:57,84,-13.87,-171.6,86.0,15.99
128,Cap Malheureux,0,MU,2020-08-18 00:56:58,77,-19.98,57.61,68.0,8.99
129,Taoudenni,0,ML,2020-08-18 00:56:58,8,22.68,-3.98,100.9,9.24
130,Aklavik,40,CA,2020-08-18 00:56:53,55,68.22,-135.01,64.4,5.82
131,Kajaani,27,FI,2020-08-18 00:56:58,93,64.23,27.73,46.4,5.82
132,Ambilobe,0,MG,2020-08-18 00:54:07,75,-13.2,49.05,65.03,3.44
133,Oxford,90,GB,2020-08-18 00:56:59,88,51.75,-1.26,63.0,3.36
134,Hithadhoo,65,MV,2020-08-18 00:56:59,77,-0.6,73.08,83.21,9.71
135,Namatanai,10,PG,2020-08-18 00:56:59,69,-3.67,152.43,83.57,9.24
136,Ulkan,0,RU,2020-08-18 00:56:59,49,57.24,107.32,60.44,1.48
137,Port Blair,99,IN,2020-08-18 00:57:00,79,11.67,92.75,81.99,14.38
138,Nemuro,75,JP,2020-08-18 00:57:00,88,43.32,145.57,66.2,9.17
139,Mataura,100,NZ,2020-08-18 00:53:26,55,-46.19,168.86,50.07,3.02
140,Katsuura,75,JP,2020-08-18 00:57:00,84,35.13,140.3,88.0,6.93
141,Bundaberg,0,AU,2020-08-18 00:52:08,32,-24.85,152.35,69.8,3.36
142,Kieta,9,PG,2020-08-18 00:57:02,74,-6.22,155.63,83.39,1.63
143,Sribne,0,UA,2020-08-18 00:57:05,68,50.66,32.92,62.94,4.07
144,Puerto Ayora,95,EC,2020-08-18 00:57:05,93,-0.74,-90.35,66.99,8.28
145,Port Lincoln,90,AU,2020-08-18 00:57:05,68,-34.73,135.87,57.06,22.84
146,Loei,75,TH,2020-08-18 00:57:05,100,17.42,101.5,77.0,4.7
147,Ladovskaya Balka,0,RU,2020-08-18 00:57:05,46,45.63,41.4,61.77,4.63
148,Torbay,90,CA,2020-08-18 00:56:44,63,47.67,-52.73,66.0,9.17
149,Umtata,0,ZA,2020-08-18 00:57:06,24,-31.59,28.78,57.2,17.22
