City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Ikom,NG,5.97,8.71,72.25,97,100,1.14,light rain
107,Severo-Kurilsk,RU,50.68,156.12,55.02,71,18,9.37,few clouds
108,Lucapa,AO,-8.42,20.74,68.86,80,97,3.38,overcast clouds
109,Lebu,CL,-37.62,-73.65,52.32,75,0,15.26,clear sky
110,Tuktoyaktuk,CA,69.45,-133.04,53.42,70,0,4.34,clear sky
111,Dorobantu,RO,44.22,26.95,78.01,40,1,1.99,clear sky
112,Tasiilaq,GL,65.61,-37.64,50.0,53,17,9.17,few clouds
113,Cabo San Lucas,MX,22.89,-109.91,84.99,74,40,4.7,scattered clouds
114,Codrington,AU,-38.27,141.97,46.04,81,74,17.38,light rain
115,Filingue,NE,14.35,3.32,79.23,71,78,33.33,heavy intensity rain
116,Luderitz,NA,-26.65,15.16,71.82,20,0,12.03,clear sky
117,Cherskiy,RU,68.75,161.3,40.98,80,100,14.5,overcast clouds
118,Whitley Bay,GB,55.04,-1.45,63.0,72,20,14.99,few clouds
119,Atlantis,ZA,-33.57,18.48,51.01,93,1,3.8,clear sky
120,Oistins,BB,13.07,-59.53,84.2,79,40,18.34,shower rain
121,Torbay,CA,47.67,-52.73,70.0,46,75,20.8,broken clouds
122,Chiriqui,PA,8.4,-82.32,82.4,78,40,10.29,scattered clouds
123,Yahualica,MX,21.13,-102.85,77.52,52,26,0.94,light rain
124,Saint-Georges,GD,12.06,-61.75,86.0,74,40,11.41,scattered clouds
125,Namtsy,RU,62.72,129.67,37.4,74,0,6.71,clear sky
126,Murdochville,CA,48.96,-65.5,59.83,49,5,9.46,clear sky
127,Bethel,US,41.37,-73.41,87.01,51,75,5.82,broken clouds
128,Khatanga,RU,71.97,102.5,43.2,67,0,13.22,clear sky
129,Seymchan,RU,62.88,152.43,38.93,75,100,15.86,overcast clouds
130,Bilibino,RU,68.05,166.44,40.87,82,100,8.03,overcast clouds
131,Ko Samui,TH,9.54,99.94,82.49,78,100,13.42,overcast clouds
132,Chumikan,RU,54.72,135.31,51.6,68,90,8.08,overcast clouds
133,Faya,SA,18.39,42.45,78.8,17,20,1.23,few clouds
134,East London,ZA,-33.02,27.91,59.54,73,3,10.76,clear sky
135,Birjand,IR,32.87,59.22,73.4,18,0,11.41,clear sky
136,Umm Lajj,SA,25.02,37.27,85.51,63,0,7.65,clear sky
137,Najran,SA,17.49,44.13,89.6,14,78,2.24,broken clouds
138,Paso De Carrasco,UY,-34.86,-56.05,57.2,33,0,9.17,clear sky
139,Sioux Lookout,CA,50.1,-91.92,78.8,61,75,5.82,broken clouds
140,Luau,AO,-10.71,22.22,75.29,35,94,3.67,overcast clouds
141,Siderno,IT,38.28,16.3,79.0,69,0,3.36,clear sky
142,Waipawa,NZ,-41.41,175.52,54.0,93,31,3.36,scattered clouds
143,Sidi Ali,DZ,36.1,0.42,73.44,66,0,1.3,clear sky
144,Namatanai,PG,-3.67,152.43,79.52,82,1,4.65,clear sky
145,Ossora,RU,59.24,163.07,52.14,82,100,2.08,overcast clouds
146,Port Alfred,ZA,-33.59,26.89,58.48,74,26,13.73,scattered clouds
147,Chuy,UY,-33.7,-53.46,50.54,67,0,5.14,clear sky
148,Ust-Maya,RU,60.42,134.53,43.41,66,2,2.19,clear sky
149,Qaanaaq,GL,77.48,-69.36,39.61,78,86,3.0,overcast clouds
150,Souillac,MU,-20.52,57.52,69.8,73,40,6.93,scattered clouds
151,Ventspils,LV,57.39,21.56,66.2,93,100,2.24,overcast clouds
152,Gelemso,ET,8.82,40.52,61.56,87,100,9.13,light rain
153,Hovd,MN,48.01,91.64,60.13,39,1,6.15,clear sky
154,Touros,BR,-5.2,-35.46,78.8,78,20,11.41,few clouds
155,Talara,PE,-4.58,-81.27,75.2,57,9,12.75,clear sky
156,Saint-Augustin,CA,51.23,-58.65,64.72,48,77,15.95,broken clouds
157,Lavras Da Mangabeira,BR,-6.75,-38.96,95.0,23,20,8.05,few clouds
158,Kruisfontein,ZA,-34.0,24.73,54.0,90,97,1.99,overcast clouds
159,Kamenka,RU,51.32,42.77,54.0,63,48,3.0,scattered clouds
160,Villanueva,HN,15.32,-88.0,95.0,50,40,11.41,scattered clouds
161,Atar,MR,20.52,-13.05,88.27,44,9,6.29,clear sky
162,Chokurdakh,RU,70.63,147.92,35.92,93,99,8.19,overcast clouds
163,Bama,NG,11.52,13.69,75.13,86,45,6.29,scattered clouds
164,Huarmey,PE,-10.07,-78.15,66.13,68,89,8.75,overcast clouds
165,Cidreira,BR,-30.18,-50.21,49.8,57,0,8.12,clear sky
166,Wahpeton,US,46.27,-96.61,87.01,66,1,5.82,clear sky
167,Teknaf,BD,20.86,92.31,78.48,89,100,4.03,moderate rain
168,Ketchikan,US,55.34,-131.65,57.2,93,90,5.82,light rain
169,Timizart,DZ,36.8,4.27,75.38,82,1,2.68,clear sky
170,Praya,CV,14.92,-23.51,82.4,61,40,3.36,scattered clouds
171,Whitehorse,CA,60.72,-135.05,59.0,82,75,3.36,light intensity shower rain
172,Ilulissat,GL,69.22,-51.1,48.2,45,82,3.36,broken clouds
173,Shimoda,JP,34.67,138.95,75.99,92,0,5.12,clear sky
174,Amahai,ID,-3.33,128.92,76.21,87,91,2.28,light rain
175,Abnub,EG,27.27,31.15,85.69,27,0,15.26,clear sky
176,Buala,SB,-8.14,159.59,81.75,74,92,2.55,light rain
177,Garden City,US,42.33,-83.33,90.0,35,20,10.29,few clouds
178,Dikson,RU,73.51,80.55,43.0,80,0,13.47,clear sky
179,Den Helder,NL,52.96,4.76,71.01,68,0,19.46,clear sky
180,Hamilton,US,39.18,-84.53,87.01,54,1,3.36,clear sky
181,The Valley,AI,18.22,-63.06,84.2,78,20,14.99,few clouds
182,Cradock,ZA,-32.16,25.62,50.13,46,0,3.36,clear sky
183,Karratha,AU,-20.74,116.85,69.89,32,0,8.66,clear sky
184,Samarai,PG,-10.62,150.67,77.18,78,99,7.45,overcast clouds
185,Monki,PL,53.41,22.8,69.01,65,95,4.88,overcast clouds
186,Nador,MA,35.17,-2.93,80.6,65,0,5.82,clear sky
187,Zaysan,KZ,47.47,84.87,58.1,50,0,6.04,clear sky
188,Mahanoro,MG,-19.9,48.8,66.61,88,2,2.98,clear sky
189,Kerema,PG,-7.96,145.78,75.63,86,78,4.0,broken clouds
190,Porto Velho,BR,-8.76,-63.9,66.2,63,90,8.05,overcast clouds
191,Prince Albert,CA,53.2,-105.77,73.4,73,75,16.11,broken clouds
192,Guatire,VE,10.48,-66.54,78.01,79,97,1.97,light rain
193,Sitka,US,57.05,-135.33,60.8,82,40,8.05,scattered clouds
194,Hit,IQ,33.64,42.83,83.77,19,0,4.81,clear sky
195,Constitucion,CL,-35.33,-72.42,59.16,64,0,5.46,clear sky
196,Dunedin,NZ,-45.87,170.5,46.0,94,77,10.0,broken clouds
197,Raudeberg,NO,61.99,5.14,62.01,88,99,13.85,moderate rain
198,Corbelia,BR,-24.8,-53.31,45.86,72,0,7.94,clear sky
199,Vila Velha,BR,-20.33,-40.29,69.8,73,75,13.87,broken clouds
200,Ulladulla,AU,-35.35,150.47,48.2,57,0,25.28,clear sky
